Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue
SAINC1-3,00000,United States,2020,Dollars,0,59114
SAINC1-3,00000,United States,2021,Dollars,0,64450
SAINC1-3,00000,United States,2022,Dollars,0,66096
SAINC1-3,00000,United States,2023,Dollars,0,69418
SAINC1-3,00000,United States,2024,Dollars,0,72425
SAINC1-3,01000,Alabama,2020,Dollars,0,45843
SAINC1-3,01000,Alabama,2021,Dollars,0,50495
SAINC1-3,01000,Alabama,2022,Dollars,0,51660
SAINC1-3,01000,Alabama,2023,Dollars,0,54112
SAINC1-3,01000,Alabama,2024,Dollars,0,56684
SAINC1-3,02000,Alaska *,2020,Dollars,0,61853
SAINC1-3,02000,Alaska *,2021,Dollars,0,65608
SAINC1-3,02000,Alaska *,2022,Dollars,0,68905
SAINC1-3,02000,Alaska *,2023,Dollars,0,71309
SAINC1-3,02000,Alaska *,2024,Dollars,0,75247
SAINC1-3,04000,Arizona,2020,Dollars,0,52038
SAINC1-3,04000,Arizona,2021,Dollars,0,56963
SAINC1-3,04000,Arizona,2022,Dollars,0,58873
SAINC1-3,04000,Arizona,2023,Dollars,0,62194
SAINC1-3,04000,Arizona,2024,Dollars,0,64456
SAINC1-3,05000,Arkansas,2020,Dollars,0,47100
SAINC1-3,05000,Arkansas,2021,Dollars,0,52872
SAINC1-3,05000,Arkansas,2022,Dollars,0,55299
SAINC1-3,05000,Arkansas,2023,Dollars,0,57603
SAINC1-3,05000,Arkansas,2024,Dollars,0,59663
SAINC1-3,06000,California,2020,Dollars,0,70065
SAINC1-3,06000,California,2021,Dollars,0,76887
SAINC1-3,06000,California,2022,Dollars,0,76741
SAINC1-3,06000,California,2023,Dollars,0,80771
SAINC1-3,06000,California,2024,Dollars,0,85518
SAINC1-3,08000,Colorado,2020,Dollars,0,64671
SAINC1-3,08000,Colorado,2021,Dollars,0,71676
SAINC1-3,08000,Colorado,2022,Dollars,0,76544
SAINC1-3,08000,Colorado,2023,Dollars,0,79746
SAINC1-3,08000,Colorado,2024,Dollars,0,82705
SAINC1-3,09000,Connecticut,2020,Dollars,0,76779
SAINC1-3,09000,Connecticut,2021,Dollars,0,81692
SAINC1-3,09000,Connecticut,2022,Dollars,0,84777
SAINC1-3,09000,Connecticut,2023,Dollars,0,89307
SAINC1-3,09000,Connecticut,2024,Dollars,0,93235
SAINC1-3,10000,Delaware,2020,Dollars,0,55497
SAINC1-3,10000,Delaware,2021,Dollars,0,59619
SAINC1-3,10000,Delaware,2022,Dollars,0,63890
SAINC1-3,10000,Delaware,2023,Dollars,0,66557
SAINC1-3,10000,Delaware,2024,Dollars,0,69282
SAINC1-3,11000,District of Columbia,2020,Dollars,0,90691
SAINC1-3,11000,District of Columbia,2021,Dollars,0,97764
SAINC1-3,11000,District of Columbia,2022,Dollars,0,100153
SAINC1-3,11000,District of Columbia,2023,Dollars,0,105518
SAINC1-3,11000,District of Columbia,2024,Dollars,0,108233
SAINC1-3,12000,Florida,2020,Dollars,0,56539
SAINC1-3,12000,Florida,2021,Dollars,0,62238
SAINC1-3,12000,Florida,2022,Dollars,0,64171
SAINC1-3,12000,Florida,2023,Dollars,0,67821
SAINC1-3,12000,Florida,2024,Dollars,0,70390
SAINC1-3,13000,Georgia,2020,Dollars,0,51460
SAINC1-3,13000,Georgia,2021,Dollars,0,56079
SAINC1-3,13000,Georgia,2022,Dollars,0,57193
SAINC1-3,13000,Georgia,2023,Dollars,0,59691
SAINC1-3,13000,Georgia,2024,Dollars,0,62393
SAINC1-3,15000,Hawaii *,2020,Dollars,0,56995
SAINC1-3,15000,Hawaii *,2021,Dollars,0,61051
SAINC1-3,15000,Hawaii *,2022,Dollars,0,62522
SAINC1-3,15000,Hawaii *,2023,Dollars,0,65888
SAINC1-3,15000,Hawaii *,2024,Dollars,0,69520
SAINC1-3,16000,Idaho,2020,Dollars,0,49607
SAINC1-3,16000,Idaho,2021,Dollars,0,55408
SAINC1-3,16000,Idaho,2022,Dollars,0,56984
SAINC1-3,16000,Idaho,2023,Dollars,0,59192
SAINC1-3,16000,Idaho,2024,Dollars,0,61836
SAINC1-3,17000,Illinois,2020,Dollars,0,61542
SAINC1-3,17000,Illinois,2021,Dollars,0,66612
SAINC1-3,17000,Illinois,2022,Dollars,0,68352
SAINC1-3,17000,Illinois,2023,Dollars,0,71716
SAINC1-3,17000,Illinois,2024,Dollars,0,74197
SAINC1-3,18000,Indiana,2020,Dollars,0,51736
SAINC1-3,18000,Indiana,2021,Dollars,0,57254
SAINC1-3,18000,Indiana,2022,Dollars,0,58867
SAINC1-3,18000,Indiana,2023,Dollars,0,61083
SAINC1-3,18000,Indiana,2024,Dollars,0,63802
SAINC1-3,19000,Iowa,2020,Dollars,0,52621
SAINC1-3,19000,Iowa,2021,Dollars,0,58195
SAINC1-3,19000,Iowa,2022,Dollars,0,61515
SAINC1-3,19000,Iowa,2023,Dollars,0,62557
SAINC1-3,19000,Iowa,2024,Dollars,0,63573
SAINC1-3,20000,Kansas,2020,Dollars,0,55100
SAINC1-3,20000,Kansas,2021,Dollars,0,59013
SAINC1-3,20000,Kansas,2022,Dollars,0,62313
SAINC1-3,20000,Kansas,2023,Dollars,0,65869
SAINC1-3,20000,Kansas,2024,Dollars,0,68038
SAINC1-3,21000,Kentucky,2020,Dollars,0,47052
SAINC1-3,21000,Kentucky,2021,Dollars,0,51769
SAINC1-3,21000,Kentucky,2022,Dollars,0,52615
SAINC1-3,21000,Kentucky,2023,Dollars,0,55063
SAINC1-3,21000,Kentucky,2024,Dollars,0,57526
SAINC1-3,22000,Louisiana,2020,Dollars,0,50133
SAINC1-3,22000,Louisiana,2021,Dollars,0,54948
SAINC1-3,22000,Louisiana,2022,Dollars,0,55661
SAINC1-3,22000,Louisiana,2023,Dollars,0,58661
SAINC1-3,22000,Louisiana,2024,Dollars,0,61332
SAINC1-3,23000,Maine,2020,Dollars,0,54295
SAINC1-3,23000,Maine,2021,Dollars,0,59168
SAINC1-3,23000,Maine,2022,Dollars,0,61620
SAINC1-3,23000,Maine,2023,Dollars,0,64922
SAINC1-3,23000,Maine,2024,Dollars,0,68129
SAINC1-3,24000,Maryland,2020,Dollars,0,64840
SAINC1-3,24000,Maryland,2021,Dollars,0,69032
SAINC1-3,24000,Maryland,2022,Dollars,0,71013
SAINC1-3,24000,Maryland,2023,Dollars,0,74945
SAINC1-3,24000,Maryland,2024,Dollars,0,78538
SAINC1-3,25000,Massachusetts,2020,Dollars,0,77470
SAINC1-3,25000,Massachusetts,2021,Dollars,0,83703
SAINC1-3,25000,Massachusetts,2022,Dollars,0,85712
SAINC1-3,25000,Massachusetts,2023,Dollars,0,89760
SAINC1-3,25000,Massachusetts,2024,Dollars,0,93927
SAINC1-3,26000,Michigan,2020,Dollars,0,52787
SAINC1-3,26000,Michigan,2021,Dollars,0,56898
SAINC1-3,26000,Michigan,2022,Dollars,0,57907
SAINC1-3,26000,Michigan,2023,Dollars,0,60865
SAINC1-3,26000,Michigan,2024,Dollars,0,63221
SAINC1-3,27000,Minnesota,2020,Dollars,0,61327
SAINC1-3,27000,Minnesota,2021,Dollars,0,67452
SAINC1-3,27000,Minnesota,2022,Dollars,0,69813
SAINC1-3,27000,Minnesota,2023,Dollars,0,72366
SAINC1-3,27000,Minnesota,2024,Dollars,0,74943
SAINC1-3,28000,Mississippi,2020,Dollars,0,42446
SAINC1-3,28000,Mississippi,2021,Dollars,0,46906
SAINC1-3,28000,Mississippi,2022,Dollars,0,47086
SAINC1-3,28000,Mississippi,2023,Dollars,0,49593
SAINC1-3,28000,Mississippi,2024,Dollars,0,52017
SAINC1-3,29000,Missouri,2020,Dollars,0,52143
SAINC1-3,29000,Missouri,2021,Dollars,0,56630
SAINC1-3,29000,Missouri,2022,Dollars,0,58986
SAINC1-3,29000,Missouri,2023,Dollars,0,62484
SAINC1-3,29000,Missouri,2024,Dollars,0,64740
SAINC1-3,30000,Montana,2020,Dollars,0,53487
SAINC1-3,30000,Montana,2021,Dollars,0,58973
SAINC1-3,30000,Montana,2022,Dollars,0,61610
SAINC1-3,30000,Montana,2023,Dollars,0,65075
SAINC1-3,30000,Montana,2024,Dollars,0,67615
SAINC1-3,31000,Nebraska,2020,Dollars,0,56745
SAINC1-3,31000,Nebraska,2021,Dollars,0,63517
SAINC1-3,31000,Nebraska,2022,Dollars,0,66923
SAINC1-3,31000,Nebraska,2023,Dollars,0,71006
SAINC1-3,31000,Nebraska,2024,Dollars,0,71859
SAINC1-3,32000,Nevada,2020,Dollars,0,54656
SAINC1-3,32000,Nevada,2021,Dollars,0,60775
SAINC1-3,32000,Nevada,2022,Dollars,0,62493
SAINC1-3,32000,Nevada,2023,Dollars,0,65822
SAINC1-3,32000,Nevada,2024,Dollars,0,68657
SAINC1-3,33000,New Hampshire,2020,Dollars,0,67535
SAINC1-3,33000,New Hampshire,2021,Dollars,0,73672
SAINC1-3,33000,New Hampshire,2022,Dollars,0,74952
SAINC1-3,33000,New Hampshire,2023,Dollars,0,78936
SAINC1-3,33000,New Hampshire,2024,Dollars,0,82878
SAINC1-3,34000,New Jersey,2020,Dollars,0,70430
SAINC1-3,34000,New Jersey,2021,Dollars,0,76040
SAINC1-3,34000,New Jersey,2022,Dollars,0,77456
SAINC1-3,34000,New Jersey,2023,Dollars,0,81325
SAINC1-3,34000,New Jersey,2024,Dollars,0,84071
SAINC1-3,35000,New Mexico,2020,Dollars,0,46483
SAINC1-3,35000,New Mexico,2021,Dollars,0,50682
SAINC1-3,35000,New Mexico,2022,Dollars,0,53069
SAINC1-3,35000,New Mexico,2023,Dollars,0,55166
SAINC1-3,35000,New Mexico,2024,Dollars,0,57652
SAINC1-3,36000,New York,2020,Dollars,0,70395
SAINC1-3,36000,New York,2021,Dollars,0,76040
SAINC1-3,36000,New York,2022,Dollars,0,77382
SAINC1-3,36000,New York,2023,Dollars,0,81630
SAINC1-3,36000,New York,2024,Dollars,0,85733
SAINC1-3,37000,North Carolina,2020,Dollars,0,51779
SAINC1-3,37000,North Carolina,2021,Dollars,0,57023
SAINC1-3,37000,North Carolina,2022,Dollars,0,58871
SAINC1-3,37000,North Carolina,2023,Dollars,0,61579
SAINC1-3,37000,North Carolina,2024,Dollars,0,64855
SAINC1-3,38000,North Dakota,2020,Dollars,0,60368
SAINC1-3,38000,North Dakota,2021,Dollars,0,65975
SAINC1-3,38000,North Dakota,2022,Dollars,0,71042
SAINC1-3,38000,North Dakota,2023,Dollars,0,71574
SAINC1-3,38000,North Dakota,2024,Dollars,0,70966
SAINC1-3,39000,Ohio,2020,Dollars,0,52839
SAINC1-3,39000,Ohio,2021,Dollars,0,57330
SAINC1-3,39000,Ohio,2022,Dollars,0,58301
SAINC1-3,39000,Ohio,2023,Dollars,0,61297
SAINC1-3,39000,Ohio,2024,Dollars,0,64225
SAINC1-3,40000,Oklahoma,2020,Dollars,0,50020
SAINC1-3,40000,Oklahoma,2021,Dollars,0,54492
SAINC1-3,40000,Oklahoma,2022,Dollars,0,57943
SAINC1-3,40000,Oklahoma,2023,Dollars,0,60395
SAINC1-3,40000,Oklahoma,2024,Dollars,0,62661
SAINC1-3,41000,Oregon,2020,Dollars,0,56594
SAINC1-3,41000,Oregon,2021,Dollars,0,62379
SAINC1-3,41000,Oregon,2022,Dollars,0,63986
SAINC1-3,41000,Oregon,2023,Dollars,0,67514
SAINC1-3,41000,Oregon,2024,Dollars,0,70685
SAINC1-3,42000,Pennsylvania,2020,Dollars,0,60245
SAINC1-3,42000,Pennsylvania,2021,Dollars,0,63779
SAINC1-3,42000,Pennsylvania,2022,Dollars,0,65336
SAINC1-3,42000,Pennsylvania,2023,Dollars,0,68649
SAINC1-3,42000,Pennsylvania,2024,Dollars,0,71148
SAINC1-3,44000,Rhode Island,2020,Dollars,0,59250
SAINC1-3,44000,Rhode Island,2021,Dollars,0,62898
SAINC1-3,44000,Rhode Island,2022,Dollars,0,64075
SAINC1-3,44000,Rhode Island,2023,Dollars,0,67105
SAINC1-3,44000,Rhode Island,2024,Dollars,0,69936
SAINC1-3,45000,South Carolina,2020,Dollars,0,48769
SAINC1-3,45000,South Carolina,2021,Dollars,0,53220
SAINC1-3,45000,South Carolina,2022,Dollars,0,54378
SAINC1-3,45000,South Carolina,2023,Dollars,0,57180
SAINC1-3,45000,South Carolina,2024,Dollars,0,59995
SAINC1-3,46000,South Dakota,2020,Dollars,0,59422
SAINC1-3,46000,South Dakota,2021,Dollars,0,67014
SAINC1-3,46000,South Dakota,2022,Dollars,0,69736
SAINC1-3,46000,South Dakota,2023,Dollars,0,72546
SAINC1-3,46000,South Dakota,2024,Dollars,0,73959
SAINC1-3,47000,Tennessee,2020,Dollars,0,51945
SAINC1-3,47000,Tennessee,2021,Dollars,0,57491
SAINC1-3,47000,Tennessee,2022,Dollars,0,59099
SAINC1-3,47000,Tennessee,2023,Dollars,0,62039
SAINC1-3,47000,Tennessee,2024,Dollars,0,64908
SAINC1-3,48000,Texas,2020,Dollars,0,54795
SAINC1-3,48000,Texas,2021,Dollars,0,60192
SAINC1-3,48000,Texas,2022,Dollars,0,62812
SAINC1-3,48000,Texas,2023,Dollars,0,65768
SAINC1-3,48000,Texas,2024,Dollars,0,67942
SAINC1-3,49000,Utah,2020,Dollars,0,51741
SAINC1-3,49000,Utah,2021,Dollars,0,58183
SAINC1-3,49000,Utah,2022,Dollars,0,60607
SAINC1-3,49000,Utah,2023,Dollars,0,63700
SAINC1-3,49000,Utah,2024,Dollars,0,66443
SAINC1-3,50000,Vermont,2020,Dollars,0,58131
SAINC1-3,50000,Vermont,2021,Dollars,0,60807
SAINC1-3,50000,Vermont,2022,Dollars,0,63523
SAINC1-3,50000,Vermont,2023,Dollars,0,66803
SAINC1-3,50000,Vermont,2024,Dollars,0,70086
SAINC1-3,51000,Virginia,2020,Dollars,0,61400
SAINC1-3,51000,Virginia,2021,Dollars,0,66971
SAINC1-3,51000,Virginia,2022,Dollars,0,69673
SAINC1-3,51000,Virginia,2023,Dollars,0,73681
SAINC1-3,51000,Virginia,2024,Dollars,0,77093
SAINC1-3,53000,Washington,2020,Dollars,0,67619
SAINC1-3,53000,Washington,2021,Dollars,0,73628
SAINC1-3,53000,Washington,2022,Dollars,0,75580
SAINC1-3,53000,Washington,2023,Dollars,0,80472
SAINC1-3,53000,Washington,2024,Dollars,0,83938
SAINC1-3,54000,West Virginia,2020,Dollars,0,44867
SAINC1-3,54000,West Virginia,2021,Dollars,0,48792
SAINC1-3,54000,West Virginia,2022,Dollars,0,50131
SAINC1-3,54000,West Virginia,2023,Dollars,0,52813
SAINC1-3,54000,West Virginia,2024,Dollars,0,55138
SAINC1-3,55000,Wisconsin,2020,Dollars,0,55428
SAINC1-3,55000,Wisconsin,2021,Dollars,0,60449
SAINC1-3,55000,Wisconsin,2022,Dollars,0,61851
SAINC1-3,55000,Wisconsin,2023,Dollars,0,64763
SAINC1-3,55000,Wisconsin,2024,Dollars,0,67586
SAINC1-3,56000,Wyoming,2020,Dollars,0,65094
SAINC1-3,56000,Wyoming,2021,Dollars,0,70962
SAINC1-3,56000,Wyoming,2022,Dollars,0,76394
SAINC1-3,56000,Wyoming,2023,Dollars,0,81918
SAINC1-3,56000,Wyoming,2024,Dollars,0,85945
SAINC1-3,91000,New England,2020,Dollars,0,72143
SAINC1-3,91000,New England,2021,Dollars,0,77575
SAINC1-3,91000,New England,2022,Dollars,0,79775
SAINC1-3,91000,New England,2023,Dollars,0,83766
SAINC1-3,91000,New England,2024,Dollars,0,87655
SAINC1-3,92000,Mideast,2020,Dollars,0,67068
SAINC1-3,92000,Mideast,2021,Dollars,0,71942
SAINC1-3,92000,Mideast,2022,Dollars,0,73501
SAINC1-3,92000,Mideast,2023,Dollars,0,77384
SAINC1-3,92000,Mideast,2024,Dollars,0,80717
SAINC1-3,93000,Great Lakes,2020,Dollars,0,55344
SAINC1-3,93000,Great Lakes,2021,Dollars,0,60113
SAINC1-3,93000,Great Lakes,2022,Dollars,0,61431
SAINC1-3,93000,Great Lakes,2023,Dollars,0,64389
SAINC1-3,93000,Great Lakes,2024,Dollars,0,67032
SAINC1-3,94000,Plains,2020,Dollars,0,56053
SAINC1-3,94000,Plains,2021,Dollars,0,61430
SAINC1-3,94000,Plains,2022,Dollars,0,64269
SAINC1-3,94000,Plains,2023,Dollars,0,67085
SAINC1-3,94000,Plains,2024,Dollars,0,68966
SAINC1-3,95000,Southeast,2020,Dollars,0,52425
SAINC1-3,95000,Southeast,2021,Dollars,0,57605
SAINC1-3,95000,Southeast,2022,Dollars,0,59230
SAINC1-3,95000,Southeast,2023,Dollars,0,62295
SAINC1-3,95000,Southeast,2024,Dollars,0,65084
SAINC1-3,96000,Southwest,2020,Dollars,0,53469
SAINC1-3,96000,Southwest,2021,Dollars,0,58647
SAINC1-3,96000,Southwest,2022,Dollars,0,61225
SAINC1-3,96000,Southwest,2023,Dollars,0,64167
SAINC1-3,96000,Southwest,2024,Dollars,0,66390
SAINC1-3,97000,Rocky Mountain,2020,Dollars,0,58137
SAINC1-3,97000,Rocky Mountain,2021,Dollars,0,64573
SAINC1-3,97000,Rocky Mountain,2022,Dollars,0,68095
SAINC1-3,97000,Rocky Mountain,2023,Dollars,0,71221
SAINC1-3,97000,Rocky Mountain,2024,Dollars,0,74060
SAINC1-3,98000,Far West *,2020,Dollars,0,67440
SAINC1-3,98000,Far West *,2021,Dollars,0,73897
SAINC1-3,98000,Far West *,2022,Dollars,0,74358
SAINC1-3,98000,Far West *,2023,Dollars,0,78387
SAINC1-3,98000,Far West *,2024,Dollars,0,82686
